,index,query_fname,target_fname,common_hashes,total_hashes,ratio
0,4,1SqihV_DnEg,VM2qkDJyzxQ,108,108,1.0
1,7,3tyb0cXoX2g,Um7oa961AIU,90,93,0.967741935483871
2,29,I3qbB4Kq3Y0,O84YjlJ_Qw4,131,133,0.9849624060150376
3,33,IwqD859w2_E,JQP1DQWiidM,81,82,0.9878048780487805
4,35,JV_IOR3DqiM,Pkhb3vPR8t4,60,60,1.0
5,37,KMQmM12G9Z4,Um7oa961AIU,56,56,1.0
6,40,Ld5G00HlbQs,BaKcwU1lt3c,53,53,1.0
7,44,N0q5vPAsHLI,QVpXFZVa33Q,84,84,1.0
8,56,THhptTKMr9U,so6Ux6pY3mQ,148,148,1.0
9,58,U6SYfguaJtk,APD1jaEO1o8,103,108,0.9537037037037037
10,59,UhwJrftWAFg,2bT9k9GiiMg,130,135,0.9629629629629629
11,62,UrgzGbGVV8I,FOXWIqMkOQY,126,133,0.9473684210526315
12,67,WsDb16qzA5Q,MFETqAEfgVc,91,96,0.9479166666666666
13,74,aYoRcnmz6ZE,2w1oOzVfXhU,121,131,0.9236641221374046
14,80,bcybO-SMY5E,ZxFFsMf_rzY,29,30,0.9666666666666667
15,84,d-KxsdWX9xE,u1d1IKyYfYo,42,42,1.0
16,86,dh9XweTn6rI,0cKIr9odOBk,56,56,1.0
17,87,eW8se7t0s-U,vIF2dLRaCYM,38,41,0.926829268292683
18,88,eZ8yopmYtPM,2fnFvxu-hsI,40,41,0.975609756097561
19,89,gXzqZIoM5g8,fnxKrzbH5JQ,43,47,0.9148936170212766
20,107,qwI32Si0ipE,pHj8U-3RHc4,141,141,1.0
21,114,w6MtzUCl4vM,_Ju4kMn2Cqc,61,64,0.953125
22,115,ySY5J3TDgag,O-rsqe9VQyc,66,66,1.0
